
央视频道,#genre#

CCTV1,http://192.168.100.1:35455/ysptp/cctv1.m3u8
CCTV1,http://192.168.100.1:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,http://192.168.100.1:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://192.168.100.1:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://192.168.100.1:35455/ysptp/cctv2.m3u8
CCTV2,http://192.168.100.1:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://192.168.100.1:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV2,http://192.168.100.1:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://192.168.100.1:35455/ysptp/cctv3.m3u8
CCTV3,http://192.168.100.1:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3,http://192.168.100.1:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://192.168.100.1:35455/ysptp/cctv4.m3u8
CCTV4,http://192.168.100.1:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4,http://192.168.100.1:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://192.168.100.1:35455/ysptp/cctv5.m3u8
CCTV5,http://192.168.100.1:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5,http://192.168.100.1:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://192.168.100.1:35455/ysptp/cctv5p.m3u8
CCTV5+,http://192.168.100.1:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV5+,http://192.168.100.1:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://192.168.100.1:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6,http://192.168.100.1:35455/ysptp/cctv6.m3u8
CCTV6,http://192.168.100.1:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV6,http://192.168.100.1:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://192.168.100.1:35455/ysptp/cctv7.m3u8
CCTV7,http://192.168.100.1:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV7,http://192.168.100.1:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7,http://192.168.100.1:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://192.168.100.1:35455/ysptp/cctv8.m3u8
CCTV8,http://192.168.100.1:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV8,http://192.168.100.1:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://192.168.100.1:35455/ysptp/cctv9.m3u8
CCTV9,http://192.168.100.1:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV9,http://192.168.100.1:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV9,http://192.168.100.1:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://192.168.100.1:35455/ysptp/cctv10.m3u8
CCTV10,http://192.168.100.1:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV10,http://192.168.100.1:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV10,http://192.168.100.1:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://192.168.100.1:35455/ysptp/cctv11.m3u8
CCTV11,http://192.168.100.1:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV11,http://192.168.100.1:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://192.168.100.1:35455/ysptp/cctv12.m3u8
CCTV12,http://192.168.100.1:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV12,http://192.168.100.1:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV12,http://192.168.100.1:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://192.168.100.1:35455/ysptp/cctv13.m3u8
CCTV13,http://192.168.100.1:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://192.168.100.1:35455/ysptp/cctv14.m3u8
CCTV14,http://192.168.100.1:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV14,http://192.168.100.1:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV14,http://192.168.100.1:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://192.168.100.1:35455/ysptp/cctv15.m3u8
CCTV15,http://192.168.100.1:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV15,http://192.168.100.1:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://192.168.100.1:35455/ysptp/cctv16.m3u8
CCTV16,http://192.168.100.1:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://192.168.100.1:35455/ysptp/cctv17.m3u8
CCTV17,http://192.168.100.1:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV17,http://192.168.100.1:35455/itv/1000000005000265015.m3u8?cdn=ystenlive


卫视,#genre#
北京卫视,http://192.168.100.1:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://192.168.100.1:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
安徽卫视,http://192.168.100.1:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://192.168.100.1:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://192.168.100.1:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://192.168.100.1:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://192.168.100.1:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
广西卫视,http://192.168.100.1:35455/itv/5000000011000031118.m3u8?cdn=bestzb
深圳卫视,http://192.168.100.1:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://192.168.100.1:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://192.168.100.1:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://192.168.100.1:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://192.168.100.1:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://192.168.100.1:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
甘肃卫视,http://192.168.100.1:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://192.168.100.1:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://192.168.100.1:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://192.168.100.1:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
贵州卫视,http://192.168.100.1:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://192.168.100.1:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://192.168.100.1:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://192.168.100.1:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://192.168.100.1:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://192.168.100.1:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://192.168.100.1:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://192.168.100.1:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://192.168.100.1:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://192.168.100.1:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://192.168.100.1:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://192.168.100.1:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://192.168.100.1:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
吉林卫视,http://192.168.100.1:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://192.168.100.1:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
