 央视,#genre#
 天津卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000006827
 天津卫视,http://192.168.100.1:5000/itv/wasusyt/6000000001000009186
 天津卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265026
 云南卫视,http://192.168.100.1:5000/itv/bestzb/5000000011000031120
 浙江卫视,http://192.168.100.1:5000/itv/bestzb/5000000004000007275
 浙江卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000014260
 浙江卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265031
 重庆卫视,http://192.168.100.1:5000/itv/ystenlive/1000000001000001096
 重庆卫视,http://192.168.100.1:5000/itv/ystenlive/1000000005000265017
 华数 4K,http://192.168.100.1:5000/itv/wasusyt/6000000003000004748
 纯享 4K,http://192.168.100.1:5000/itv/ystenlive/1000000004000011651
 咪咕4K,http://192.168.100.1:5000/itv/FifastbLive/3000000010000005180
 咪咕4K,http://192.168.100.1:5000/itv/FifastbLive/3000000010000015686
 
